epoch,train_loss,val_loss,val_accuracy,val_f1_macro,val_f1_weighted
1,1.2021421194076538,1.0090773820877075,0.5314685314685315,0.5677260532894335,0.519310981378843
2,0.8512314785094488,0.8525245904922485,0.6363636363636364,0.6501984834968778,0.6494421501781001
3,0.7103475161961147,0.8149251461029052,0.6993006993006993,0.7002897710808462,0.7137627078803549
4,0.6083036618573325,0.7600479364395142,0.7272727272727273,0.7304712236915627,0.741409959011002
5,0.5612325668334961,0.756712532043457,0.7202797202797203,0.7136180735408162,0.7387328151122541
6,0.5077092108272371,0.7694773197174072,0.7202797202797203,0.7090482616798406,0.7429659858809656
7,0.45677569792384193,0.7695341825485229,0.7272727272727273,0.715104192443642,0.748043015772534
8,0.40822281865846544,0.7594458937644959,0.7272727272727273,0.711027676027676,0.7494926014156784
9,0.3851124871344793,0.7902666687965393,0.7412587412587412,0.7080769230769232,0.7602564102564102
10,0.3623256193740027,0.8011455059051513,0.7062937062937062,0.6890506139562743,0.7312262161318765
11,0.3451088744969595,0.7682173490524292,0.7482517482517482,0.7224381466486729,0.7693389831041653
12,0.3178755272002447,0.7955374956130982,0.7412587412587412,0.7113343799058085,0.760872094938029
13,0.32395005793798537,0.8026315212249756,0.7202797202797203,0.680114431023522,0.7364672200018673
14,0.2930903406370254,0.8164974570274353,0.7272727272727273,0.6954139568871026,0.7452866826268361
15,0.27369432009401773,0.8583856821060181,0.7062937062937062,0.667717736808646,0.7232325208167548
16,0.26654316059180666,0.8878157019615174,0.7202797202797203,0.6744394739799933,0.7317741267387216
17,0.2633652396145321,0.894256055355072,0.7132867132867133,0.6776717827626918,0.72964638667118
18,0.24990049359344302,0.8936296939849854,0.7132867132867133,0.6776717827626918,0.72964638667118
19,0.2733583939926965,0.9075527429580689,0.7062937062937062,0.6614575699674047,0.7183025471774487
20,0.2465956076270058,0.9297224760055542,0.7062937062937062,0.6614575699674047,0.7183025471774487
